AREA,CAR_NAME,CLASS,LAP_TIME,LINK
Dipping Down,VENCER SARTHE,C,1:06.680,https://youtu.be/9Ly-k1ZHLY0
Dipping Down,BUGATTI EB110,C,1:06.912,https://youtu.be/0E9BLo2k85M
Dipping Down,LAMBORGHINI GALLARDO LP 560-4,C,1:07.692,https://youtu.be/nc6nahp5tgs?t=92
Dipping Down,TVR GRIFFITH,D,1:10.274,https://youtu.be/aOD6-yHVRlo?si=2tqj4PAawXpgPBQV
Downtown Rise,KOENIGSEGG JESKO,S,0:54.524,https://youtu.be/78dMQlJHiC0?t=26
Downtown Rise,KOENIGSEGG GEMERA,S,0:56.738,https://youtu.be/vh_WjuXQtZU
Downtown Rise,ASTON MARTIN VALHALLA CONCEPT CAR,A,0:59.178,https://youtu.be/UGo16MfXI_c?si=v_yqc6JVA-oYmfeN&t=757
Downtown Rise,RIMAC CONCEPT_ONE,A,1:00.128,https://youtu.be/lMxTtSWz-2I?si=QplV8DGNcX2C3nwU&t=202
Downtown Rise,PAGANI IMOLA,A,1:00.397,https://youtu.be/ivGIEQTNHS0?si=p1-vEPuS6OD2sf3-&t=94
Downtown Rise,LAMBORGHINI AVENTADOR SV COUPE,A,1:00.940,https://youtu.be/hJoEFxJhRNI?t=21
Downtown Rise,PAGANI HUAYRA BC,A,1:01.203,https://youtu.be/f4ccWr7svhA?t=209
Downtown Rise,LAMBORGHINI GALLARDO LP 560-4,C,1:03.066,https://youtu.be/QvOHf-Fh-R0
Downtown Rise,MCLAREN GT,C,1:04.247,https://youtu.be/LuHLmvC2X9M
Downtown Rise,FERRARI 599XX EVO,C,1:05.125,https://youtu.be/f4lv_2j3QBo?si=kgO_Aqomh4ajWOBL&t=227
Downtown Rise,MASERATI ALFIERI,C,1:06.882,https://youtu.be/L4gqXVZS2LI
Fire and Ice,BUGATTI LA VOITURE NOIRE,S,1:09.293,https://youtu.be/USj28luWg7o?si=hvcvwkPJHgsOHDjJ&t=6
